Sl. No.,Name of District,Number of Urban Local Bodies (ULBs) in the district,Total households in the ULBs in 2021,Number of households in these ULBs with Tap connections,Number of households in these ULBs where Tap connections are yet to be provided
1,Amritsar,7,364233,353417,10816
2,Barnala,5,56514,42847,13667
3,Bathinda,16,74823,49150,25673
4,Faridkot,3,64312,45540,18772
5,Fazilka,4,80198,55296,24902
6,Firozpur,9,87531,61782,25749
7,Gurdaspur,8,102677,55626,47051
8,Hoshiarpur,10,92020,69574,22446
9,Jalandhar,12,60838,45576,15262
10,Kapurthala,7,79785,66390,13395
11,Ludhiana,10,102654,73458,29196
12,Mansa,7,55098,38425,16673
13,Moga,7,72076,55638,16438
14,Muktsar,4,74723,53195,21528
15,Pathankot,3,58567,37684,20883
16,Patiala,9,217529,172754,44775
17,Rupnagar,6,47735,42808,4927
18,S.A.S. Nagar (Mohali),8,137664,126469,11195
19,Sahid Bhagat SinghNagar,4,30885,21193,9692
20,Sangrur,13,152880,120970,31910
21,Sirhind Fatehgarh Sahib,5,52250,32562,19688
22,Tarn Taran,4,42013,21295,20718
Total,Total,161,2107005,1641649,465356
